epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4591,0.75017,2.8841,2.92289,1.29956,0,0.00411,1,0.35607,0.27316,0.00411,1,0.35607,0.2858,0.32586,1.13926,3.30246,1.04398,0,8.335e-05,8.335e-05,8.335e-05
2,99.2524,0.57614,2.11321,2.80059,1.15867,0,0.00407,1,0.35102,0.23156,0.00407,1,0.3272,0.16817,0.43853,2.15034,3.36173,1.15129,0,0.000181555,0.000181555,0.000181555
3,167.134,0.53743,1.73331,2.63621,1.13034,0,0.00407,1,0.42493,0.33964,0.00407,1,0.40835,0.27692,0.56417,2.02392,3.42093,1.28053,0,0.000277779,0.000277779,0.000277779
4,216.428,0.52505,1.56844,2.45858,1.08762,0,0.00371,0.91667,0.65306,0.40302,0.00371,0.91667,0.65306,0.40301,0.64576,1.63425,3.44895,1.33861,0,0.000372023,0.000372023,0.000372023
5,265.076,0.61081,1.69439,2.38522,1.14797,0,0.00407,1,0.54167,0.29701,0.00371,0.91667,0.54043,0.26282,0.70424,2.54604,3.46955,1.42874,0,0.000464286,0.000464286,0.000464286
6,313.881,0.66882,1.83586,2.2746,1.15048,0,0.00407,1,0.46819,0.22298,0.00407,1,0.38146,0.22867,0.94932,2.81726,3.58529,1.70563,0,0.000554569,0.000554569,0.000554569
7,359.893,0.68855,1.60743,2.07871,1.19126,0,0.00407,1,0.47198,0.26889,0.00407,1,0.48787,0.32101,1.07017,2.03069,3.67708,1.87157,0,0.000642872,0.000642872,0.000642872
8,417.923,0.63801,1.47315,1.91788,1.147,0,0.00407,1,0.60296,0.31844,0.00407,1,0.60296,0.42318,1.1422,2.13157,3.50144,1.87297,0,0.000729194,0.000729194,0.000729194
9,471.592,0.72208,1.62014,1.76014,1.16143,0,0.71382,0.3,0.59578,0.27395,0.71382,0.3,0.61159,0.40437,1.41944,2.67809,3.58983,2.24063,0,0.000813536,0.000813536,0.000813536
10,511.501,0.76246,1.5148,1.77155,1.2751,0,0.91609,0.4,0.66478,0.32046,0.86743,0.4,0.663,0.43815,1.40343,4.22273,3.39202,2.38743,0,0.000895897,0.000895897,0.000895897
11,551.271,0.69014,1.37491,1.54252,1.15512,0,0.94145,0.3,0.61886,0.27169,0.90664,0.3,0.63414,0.43125,1.20439,4.38309,3.5714,2.09511,0,0.000976279,0.000976279,0.000976279
12,590.632,0.74976,1.75143,1.55075,1.25364,0,0.72081,0.5,0.53407,0.31769,0.72081,0.5,0.51383,0.40334,1.01326,3.31941,3.1032,1.98647,0,0.00105468,0.00105468,0.00105468
13,628.598,0.73042,1.62946,1.4986,1.25227,0,0.78784,0.4,0.62533,0.40562,0.66773,0.4,0.4517,0.26426,1.11747,6.46084,3.13213,1.83199,0,0.0011311,0.0011311,0.0011311
14,667.369,0.75042,1.56899,1.49589,1.25639,0,0.631,0.4,0.45194,0.23699,0.61889,0.2,0.20107,0.07144,1.46597,11.919,3.52672,2.31021,0,0.00120554,0.00120554,0.00120554
15,705.294,0.76081,1.50037,1.48052,1.23019,0,0.631,0.4,0.45194,0.23699,0.61889,0.2,0.20107,0.07144,1.46597,11.919,3.52672,2.31021,0,0.001278,0.001278,0.001278
16,749.472,0.7219,1.42477,1.30747,1.20338,0,0.56934,0.33908,0.24436,0.1146,0.10823,0.26667,0.1188,0.03491,1.92611,13.0094,3.80105,2.67649,0,0.00134848,0.00134848,0.00134848
17,788.204,0.70772,1.35971,1.38096,1.14796,0,0.20375,0.18333,0.11949,0.07126,0.27881,0.18333,0.08682,0.0358,1.72518,9.19762,4.06332,2.38999,0,0.00140295,0.00140295,0.00140295
18,825.799,0.73878,1.4449,1.46038,1.20054,0,0.2541,0.35,0.23513,0.11546,0.24068,0.35,0.24263,0.10509,1.47255,5.64665,3.45014,2.13005,0,0.00138644,0.00138644,0.00138644
